"統計名：","人口推計 各月1日現在人口 確定値"
"表番号：","003"
"表題：","[確定値] 年齢（５歳階級），男女，月別人口－総人口，日本人人口 ，外国人人口 （各月１日現在）-令和２年国勢調査基準-"
"実施年月：","-","-"
"市区町村時点（年月日）：","-"

"","","","","","","","","","","","","/男女別 コード","000","001","002"
"表章項目 コード","表章項目","確定値 コード","確定値","全国 コード","全国","時間軸（年月日現在） コード","時間軸（年月日現在）","人口 コード","人口","年齢5歳階級 コード","年齢5歳階級","/男女別","男女計","男","女"
"001","人口【千人】","01","確定値","00000","全国","2020001111","2020年11月","001","総人口","01013","60～64歳","","7,434","3,673","3,761"
"001","人口【千人】","01","確定値","00000","全国","2020001111","2020年11月","001","総人口","01014","65～69歳","","8,200","3,982","4,218"
"001","人口【千人】","01","確定値","00000","全国","2020001111","2020年11月","001","総人口","01015","70～74歳","","9,235","4,359","4,876"
"001","人口【千人】","01","確定値","00000","全国","2020001111","2020年11月","001","総人口","01016","75～79歳","","7,039","3,134","3,905"
"001","人口【千人】","01","確定値","00000","全国","2020001111","2020年11月","001","総人口","01017","80～84歳","","5,408","2,234","3,173"
"001","人口【千人】","01","確定値","00000","全国","2020001111","2020年11月","001","総人口","01018","85～89歳","","3,758","1,332","2,426"
"001","人口【千人】","01","確定値","00000","全国","2020001111","2020年11月","001","総人口","01019","90～94歳","","1,818","502","1,316"
"001","人口【千人】","01","確定値","00000","全国","2020001111","2020年11月","001","総人口","01020","95～99歳","","505","95","410"
"001","人口【千人】","01","確定値","00000","全国","2020001111","2020年11月","001","総人口","01021","100歳以上","","81","10","71"
"001","人口【千人】","01","確定値","00000","全国","2020001111","2020年11月","001","総人口","02000","（再掲）15歳未満","","15,015","7,691","7,323"
"001","人口【千人】","01","確定値","00000","全国","2020001111","2020年11月","001","総人口","01023","（再掲）15～64歳","","75,049","37,988","37,061"
"001","人口【千人】","01","確定値","00000","全国","2020001111","2020年11月","001","総人口","01024","（再掲）65歳以上","","36,043","15,648","20,395"
"001","人口【千人】","01","確定値","00000","全国","2020001111","2020年11月","001","総人口","01026","（再掲）うち75歳以上","","18,608","7,307","11,301"
"001","人口【千人】","01","確定値","00000","全国","2020001111","2020年11月","001","総人口","01027","（再掲）うち85歳以上","","6,161","1,939","4,223"
"001","人口【千人】","01","確定値","00000","全国","2020001111","2020年11月","002","日本人人口","01000","総数","","123,353","59,978","63,375"
"001","人口【千人】","01","確定値","00000","全国","2020001111","2020年11月","002","日本人人口","01001","0～4歳","","4,446","2,275","2,171"
"001","人口【千人】","01","確定値","00000","全国","2020001111","2020年11月","002","日本人人口","01002","5～9歳","","5,031","2,576","2,454"
"001","人口【千人】","01","確定値","00000","全国","2020001111","2020年11月","002","日本人人口","01003","10～14歳","","5,315","2,725","2,591"
"001","人口【千人】","01","確定値","00000","全国","2020001111","2020年11月","002","日本人人口","01004","15～19歳","","5,607","2,877","2,730"
"001","人口【千人】","01","確定値","00000","全国","2020001111","2020年11月","002","日本人人口","01005","20～24歳","","5,921","3,019","2,902"
"001","人口【千人】","01","確定値","00000","全国","2020001111","2020年11月","002","日本人人口","01006","25～29歳","","5,947","3,035","2,912"
"001","人口【千人】","01","確定値","00000","全国","2020001111","2020年11月","002","日本人人口","01007","30～34歳","","6,345","3,235","3,110"
"001","人口【千人】","01","確定値","00000","全国","2020001111","2020年11月","002","日本人人口","01008","35～39歳","","7,218","3,671","3,547"
"001","人口【千人】","01","確定値","00000","全国","2020001111","2020年11月","002","日本人人口","01009","40～44歳","","8,239","4,192","4,046"
"001","人口【千人】","01","確定値","00000","全国","2020001111","2020年11月","002","日本人人口","01010","45～49歳","","9,680","4,915","4,765"
"001","人口【千人】","01","確定値","00000","全国","2020001111","2020年11月","002","日本人人口","01011","50～54歳","","8,563","4,325","4,238"
"001","人口【千人】","01","確定値","00000","全国","2020001111","2020年11月","002","日本人人口","01012","55～59歳","","7,842","3,930","3,912"
"001","人口【千人】","01","確定値","00000","全国","2020001111","2020年11月","002","日本人人口","01013","60～64歳","","7,344","3,635","3,709"
"001","人口【千人】","01","確定値","00000","全国","2020001111","2020年11月","002","日本人人口","01014","65～69歳","","8,133","3,952","4,181"
